Date_of_Week,Year,Month,Channel,Brand,Country,Category,Partnership,NMV,Item,ASP,PV
18/2/18,2018,Feb,LLLDD,AV,TH,Health & Beauty,MP,18853.22964,1243.42604,15.16232492,41129
28/1/18,2018,Jan,LLLDD,AV,SG,Health & Beauty,MP,0,0,,440
14/1/18,2018,Jan,LLLDD,AV,TH,Health & Beauty,MP,17608.25665,1213.82701,14.50639713,43215
4/2/18,2018,Feb,LLLDD,AV,SG,Health & Beauty,MP,0,0,,564
21/1/18,2018,Jan,LLLDD,AV,TH,Health & Beauty,MP,18179.10355,1245.011,14.60156059,44818
2/4/17,2017,Apr,LLLDD,AV,TH,Health & Beauty,MP,56377.25549,3171.44502,17.77651989,90397
21/1/18,2018,Jan,LLLDD,AV,SG,Health & Beauty,MP,0,0,,392
11/2/18,2018,Feb,LLLDD,AV,SG,Health & Beauty,MP,0,0,,600
18/3/18,2018,Mar,LLLDD,AV,TH,Health & Beauty,MP,17641.14105,1137.416305,15.50983662,37370
14/1/18,2018,Jan,LLLDD,AV,SG,Health & Beauty,MP,0,0,,429
18/2/18,2018,Feb,LLLDD,AV,SG,Health & Beauty,MP,0,0,,289
11/2/18,2018,Feb,LLLDD,AV,TH,Health & Beauty,MP,18945.28485,1239.79023,15.28104061,40921
29/10/17,2017,Oct,LLLDD,AV,TH,Health & Beauty,MP,22827.69716,1499.21672,15.22641581,72463
4/3/18,2018,Mar,LLLDD,AV,TH,Health & Beauty,MP,16071.64176,1091.651817,14.72231485,37483
31/12/17,2017,Dec,LLLDD,AV,TH,Health & Beauty,MP,21369.57315,1475.16072,14.48626774,55520
4/3/18,2018,Mar,LLLDD,AV,SG,Health & Beauty,MP,22.49923961,1.799482366,12.50317315,605
7/1/18,2018,Jan,LLLDD,AV,SG,Health & Beauty,MP,0,0,,450
25/3/18,2018,Mar,LLLDD,AV,SG,Health & Beauty,MP,24.70186419,1.975647612,12.50317315,687
18/3/18,2018,Mar,LLLDD,AV,SG,Health & Beauty,MP,24.85671036,1.988032162,12.50317315,650
25/2/18,2018,Feb,LLLDD,AV,SG,Health & Beauty,MP,0,0,,537
31/12/17,2017,Dec,LLLDD,AV,SG,Health & Beauty,MP,0,0,,419
25/3/18,2018,Mar,LLLDD,AV,TH,Health & Beauty,MP,18019.20534,1157.957444,15.56119824,37869
28/1/18,2018,Jan,LLLDD,AV,TH,Health & Beauty,MP,19293.5787,1311.18099,14.71465713,46619
25/2/18,2018,Feb,LLLDD,AV,TH,Health & Beauty,MP,19018.42896,1252.44585,15.18503092,41630
4/2/18,2018,Feb,LLLDD,AV,TH,Health & Beauty,MP,17897.26175,1197.48374,14.94572423,39670
7/1/18,2018,Jan,LLLDD,AV,TH,Health & Beauty,MP,18359.9235,1280.03634,14.34328302,44286
2/4/17,2017,Apr,LLLDD,XXA,PH,Health & Beauty,RT,12593.59606,6316.63971,1.993717648,67676
2/4/17,2017,Apr,LLLDD,XXA,ID,Health & Beauty,MP,19803.18166,7243.81413,2.73380588,298657
2/4/17,2017,Apr,LLLDD,XXA,ID,Health & Beauty,RT,14021.95602,8182.022,1.713751933,159308
7/1/18,2018,Jan,LLLDD,XXA,ID,Health & Beauty,MP,1805.933164,549,3.289495746,32209
21/1/18,2018,Jan,LLLDD,XXA,ID,Health & Beauty,MP,1805.933164,549,3.289495746,32209
18/2/18,2018,Feb,LLLDD,XXA,ID,Health & Beauty,MP,1066.962017,362.72814,2.941492263,23061
28/1/18,2018,Jan,LLLDD,XXA,PH,Health & Beauty,MP,765.5286601,237.3837,3.224857731,4925
11/2/18,2018,Feb,LLLDD,XXA,TH,Health & Beauty,MP,4184.502863,635.62975,6.583239477,15137
31/12/17,2017,Dec,LLLDD,XXA,SG,Health & Beauty,MP,295.741159,45.33065,6.524088205,1311
4/2/18,2018,Feb,LLLDD,XXA,ID,Health & Beauty,MP,1060.947909,359.67554,2.949736057,21608
4/2/18,2018,Feb,LLLDD,XXA,VN,Health & Beauty,RT,47772.77187,9131.73428,5.231511387,403176
7/1/18,2018,Jan,LLLDD,XXA,SG,Health & Beauty,RT,0,0,,18
21/1/18,2018,Jan,LLLDD,XXA,ID,Health & Beauty,RT,33937.22154,17889.86,1.897008782,303400
